# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Apr 29 09:38:49 PDT 2020 [seed=1588101533653]
# -window -working -options
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
206000	-846.9174934096761	-885.1838219225397	-38.266328512863595	1.0	-885.1838219225397
207000	-835.831843472538	-863.196154019425	-27.364310546886944	1.0	-863.196154019425
208000	-843.900395591311	-868.1058544800733	-24.2054588887622	1.0	-868.1058544800733
209000	-847.1684525101297	-866.8777559963034	-19.709303486173752	1.0	-866.8777559963034
210000	-843.5588945982817	-859.8378819659285	-16.278987367646945	1.0	-859.8378819659285
211000	-854.3522489672628	-884.945589342157	-30.59334037489416	1.0	-884.945589342157
212000	-840.254784565388	-860.8566903761621	-20.601905810774035	1.0	-860.8566903761621
213000	-852.8640178818378	-871.9656754635639	-19.101657581726187	1.0	-871.9656754635639
214000	-851.5669439649653	-875.2282053112373	-23.661261346271967	1.0	-875.2282053112373
215000	-851.5393893123362	-868.802271521995	-17.262882209658756	1.0	-868.802271521995
216000	-844.3501888246141	-871.7777804694155	-27.42759164480138	1.0	-871.7777804694155
217000	-840.5510012581127	-867.1440396126708	-26.593038354558086	1.0	-867.1440396126708
218000	-842.9633180992926	-871.8659605602446	-28.90264246095208	1.0	-871.8659605602446
219000	-845.3260718230647	-870.0294445504264	-24.7033727273617	1.0	-870.0294445504264
220000	-848.6879294778989	-878.3852670461171	-29.69733756821817	1.0	-878.3852670461171
221000	-847.6554549719895	-874.0576187821827	-26.40216381019316	1.0	-874.0576187821827
222000	-849.1534664643923	-872.1554610437352	-23.00199457934285	1.0	-872.1554610437352
223000	-844.5147274658755	-859.9472038169295	-15.432476351053953	1.0	-859.9472038169295
224000	-855.3255449453491	-874.2317210978648	-18.906176152515695	1.0	-874.2317210978648
225000	-848.0191696726747	-871.243053644717	-23.22388397204223	1.0	-871.243053644717
226000	-851.0609577493815	-870.0734954341542	-19.012537684772695	1.0	-870.0734954341542
227000	-842.029878541693	-862.5596042893281	-20.529725747635087	1.0	-862.5596042893281
228000	-844.7173482161916	-865.2389630874011	-20.52161487120948	1.0	-865.2389630874011
229000	-838.816840138621	-856.9057974573417	-18.088957318720595	1.0	-856.9057974573417
230000	-840.8872542579533	-855.0494726403069	-14.162218382353677	1.0	-855.0494726403069
231000	-841.4650146274457	-855.5639874453515	-14.09897281790579	1.0	-855.5639874453515
232000	-847.2374160018592	-869.8151700149892	-22.577754013130097	1.0	-869.8151700149892
233000	-847.718368074799	-870.5665982704936	-22.84823019569472	1.0	-870.5665982704936
234000	-848.7304601387907	-868.1956595060765	-19.465199367285788	1.0	-868.1956595060765
235000	-831.6427077836775	-847.8531076938201	-16.21039991014262	1.0	-847.8531076938201
236000	-840.6995061735627	-857.8261890643756	-17.12668289081293	1.0	-857.8261890643756
237000	-840.211400034794	-855.9438763556485	-15.732476320854566	1.0	-855.9438763556485
238000	-841.4850731512911	-862.908195709353	-21.423122558061845	1.0	-862.908195709353
239000	-846.1879631707561	-856.6530215354028	-10.465058364646689	1.0	-856.6530215354028
240000	-846.9460718063539	-859.9140901959448	-12.968018389590899	1.0	-859.9140901959448
241000	-843.3429145287273	-857.1484901136107	-13.805575584883456	1.0	-857.1484901136107
242000	-841.8410329863282	-853.5060238802889	-11.664990893960784	1.0	-853.5060238802889
243000	-850.9813073418992	-854.6631585235265	-3.681851181627307	1.0	-854.6631585235265
244000	-848.4852954973153	-860.4521691304453	-11.966873633130083	1.0	-860.4521691304453
245000	-855.3141017751091	-872.1548626637972	-16.840760888688084	1.0	-872.1548626637972
246000	-847.7758953836914	-862.6006156045864	-14.824720220895044	1.0	-862.6006156045864
247000	-852.1676039234686	-864.8361136791569	-12.668509755688373	1.0	-864.8361136791569
248000	-844.2729208893563	-858.920807748533	-14.647886859176602	1.0	-858.920807748533
249000	-840.479394634422	-850.9432953383122	-10.46390070389018	1.0	-850.9432953383122
250000	-837.8539543320139	-850.6031745853861	-12.749220253372206	1.0	-850.6031745853861
251000	-847.2453103099535	-865.4373011224322	-18.19199081247872	1.0	-865.4373011224322
252000	-837.8359302321633	-861.6877304434233	-23.851800211260084	1.0	-861.6877304434233
253000	-841.5450355966716	-859.7826426515081	-18.237607054836552	1.0	-859.7826426515081
254000	-844.3507328972511	-865.3343315254907	-20.98359862823964	1.0	-865.3343315254907
255000	-852.8071409168973	-876.0356691688818	-23.228528251984482	1.0	-876.0356691688818
256000	-842.5819449676212	-858.2928859788423	-15.710941011221085	1.0	-858.2928859788423
257000	-839.0899063746792	-858.8348103596177	-19.744903984938414	1.0	-858.8348103596177
258000	-844.6959548066664	-866.4352103423528	-21.739255535686418	1.0	-866.4352103423528
259000	-840.4380272721553	-864.0201571300094	-23.58212985785407	1.0	-864.0201571300094
260000	-836.9942517580952	-853.3630222443705	-16.368770486275366	1.0	-853.3630222443705
261000	-833.7637384901965	-856.3113251932748	-22.54758670307827	1.0	-856.3113251932748
262000	-845.1869570878812	-874.2526073639957	-29.06565027611449	1.0	-874.2526073639957
263000	-843.3525178449751	-867.6993799439406	-24.34686209896551	1.0	-867.6993799439406
264000	-839.4189060608242	-865.1484265332411	-25.729520472416965	1.0	-865.1484265332411
265000	-851.5258804830114	-872.6320641842996	-21.10618370128819	1.0	-872.6320641842996
266000	-845.8181297589068	-872.8285203419765	-27.010390583069686	1.0	-872.8285203419765
267000	-842.9151216833567	-869.8092701672011	-26.894148483844415	1.0	-869.8092701672011
268000	-845.4645489567988	-869.7876916137199	-24.323142656921103	1.0	-869.7876916137199
269000	-844.26317390151	-873.4902100482263	-29.22703614671641	1.0	-873.4902100482263
270000	-852.524348537713	-879.1793686323183	-26.655020094605337	1.0	-879.1793686323183
271000	-855.9654363683907	-874.1190668938323	-18.153630525441596	1.0	-874.1190668938323
272000	-855.7498499076228	-879.109612476068	-23.359762568445248	1.0	-879.109612476068
273000	-852.3864711891363	-880.5780425460281	-28.191571356891828	1.0	-880.5780425460281
274000	-852.9546976134186	-873.4788131700329	-20.524115556614365	1.0	-873.4788131700329
275000	-853.3912876541201	-874.5105109571048	-21.119223302984675	1.0	-874.5105109571048
276000	-840.3840176602482	-858.9527938804829	-18.56877622023469	1.0	-858.9527938804829
277000	-846.0805397073523	-873.4359942512715	-27.355454543919194	1.0	-873.4359942512715
278000	-847.3725179164804	-857.5566551216394	-10.184137205159034	1.0	-857.5566551216394
279000	-850.3803908812134	-857.7554301946041	-7.375039313390652	1.0	-857.7554301946041
280000	-847.1730454571955	-852.2967602149502	-5.123714757754696	1.0	-852.2967602149502
281000	-846.77600529036	-855.4684717226688	-8.692466432308873	1.0	-855.4684717226688
282000	-852.4184943911908	-866.5167906054266	-14.098296214235763	1.0	-866.5167906054266
283000	-843.9623154476719	-865.0758298188612	-21.113514371189222	1.0	-865.0758298188612
284000	-839.9957885129118	-856.9373521280169	-16.941563615105075	1.0	-856.9373521280169
285000	-839.1238453079225	-855.5128617027115	-16.38901639478899	1.0	-855.5128617027115
286000	-841.8472579692746	-852.8858430226204	-11.038585053345804	1.0	-852.8858430226204
287000	-837.5463535188761	-844.2670403889097	-6.72068687003357	1.0	-844.2670403889097
288000	-848.3394358773787	-855.4156338795108	-7.076198002132074	1.0	-855.4156338795108
289000	-844.0641735303591	-855.9475552795207	-11.883381749161614	1.0	-855.9475552795207
290000	-839.8490357258593	-849.1396941150136	-9.290658389154384	1.0	-849.1396941150136
291000	-840.5248906592965	-843.6744144993802	-3.1495238400836456	1.0	-843.6744144993802
292000	-839.6723318764475	-846.6862345857967	-7.013902709349214	1.0	-846.6862345857967
293000	-837.524555884459	-848.4818775399214	-10.957321655462405	1.0	-848.4818775399214
294000	-834.8988613864374	-852.2990076964224	-17.400146309985097	1.0	-852.2990076964224
295000	-838.2202684685365	-854.7754841173352	-16.555215648798697	1.0	-854.7754841173352
296000	-833.8369776580638	-841.8070701484826	-7.9700924904187715	1.0	-841.8070701484826
297000	-833.7146413082558	-841.7668315515787	-8.052190243322936	1.0	-841.7668315515787
298000	-841.0532146852706	-846.9024724989416	-5.849257813670973	1.0	-846.9024724989416
299000	-845.6947579224493	-858.9812660132332	-13.28650809078385	1.0	-858.9812660132332
